id,code,name,county_id:id
district_Carmen_San_José_SJ,01,Carmen,county_San_José_SJ
district_Escazú_Escazú_SJ,01,Escazú,county_Escazú_SJ
district_Desamparados_Desamparados_SJ,01,Desamparados,county_Desamparados_SJ
district_Santiago_Puriscal_SJ,01,Santiago,county_Puriscal_SJ
district_San_Marcos_Tarrazú_SJ,01,San Marcos,county_Tarrazú_SJ
district_Aserri_Aserrí_SJ,01,Aserri,county_Aserrí_SJ
district_Colón_Mora_SJ,01,Colón,county_Mora_SJ
district_Guadalupe_Goicoechea_SJ,01,Guadalupe,county_Goicoechea_SJ
district_Santa_Ana_Santa_Ana_SJ,01,Santa Ana,county_Santa_Ana_SJ
district_Alajuelita_Alajuelita_SJ,01,Alajuelita,county_Alajuelita_SJ
district_San_Isidro_Vásquez_de_Coronado_SJ,01,San Isidro,county_Vásquez_de_Coronado_SJ
district_San_Ignacio_Acosta_SJ,01,San Ignacio,county_Acosta_SJ
district_San_Juan_Tibás_SJ,01,San Juan,county_Tibás_SJ
district_San_Vicente_Moravia_SJ,01,San Vicente,county_Moravia_SJ
district_San_Pedro_Montes_de_Oca_SJ,01,San Pedro,county_Montes_de_Oca_SJ
district_San_Pablo_Turrubares_SJ,01,San Pablo,county_Turrubares_SJ
district_Santa_María_Dota_SJ,01,Santa María,county_Dota_SJ
district_Curridabat_Curridabat_SJ,01,Curridabat,county_Curridabat_SJ
district_San_Isidro_De_El_General_Pérez_Zeledón_SJ,01,San Isidro De El General,county_Pérez_Zeledón_SJ
district_San_Pablo_León_Cortéz_Castro_SJ,01,San Pablo,county_León_Cortéz_Castro_SJ
district_Alajuela_Alajuela_A,01,Alajuela,county_Alajuela_A
district_San_Ramón_San_Ramón_A,01,San Ramón,county_San_Ramón_A
district_Grecia_Grecia_A,01,Grecia,county_Grecia_A
district_San_Mateo_San_Mateo_A,01,San Mateo,county_San_Mateo_A
district_Atenas_Atenas_A,01,Atenas,county_Atenas_A
district_Naranjo_Naranjo_A,01,Naranjo,county_Naranjo_A
district_Palmares_Palmares_A,01,Palmares,county_Palmares_A
district_San_Pedro_Poás_A,01,San Pedro,county_Poás_A
district_Orotina_Orotina_A,01,Orotina,county_Orotina_A
district_Quesada_San_Carlos_A,01,Quesada,county_San_Carlos_A
district_Merced_San_José_SJ,02,Merced,county_San_José_SJ
district_San_Antonio_Escazú_SJ,02,San Antonio,county_Escazú_SJ
district_San_Miguel_Desamparados_SJ,02,San Miguel,county_Desamparados_SJ
district_Mercedes_Sur_Puriscal_SJ,02,Mercedes Sur,county_Puriscal_SJ
district_San_Lorenzo_Tarrazú_SJ,02,San Lorenzo,county_Tarrazú_SJ
district_Tarbaca_Aserrí_SJ,02,Tarbaca,county_Aserrí_SJ
district_Guayabo_Mora_SJ,02,Guayabo,county_Mora_SJ
district_San_Francisco_Goicoechea_SJ,02,San Francisco,county_Goicoechea_SJ
district_Salitral_Santa_Ana_SJ,02,Salitral,county_Santa_Ana_SJ
district_San_Josecito_Alajuelita_SJ,02,San Josecito,county_Alajuelita_SJ
district_San_Rafael_Vásquez_de_Coronado_SJ,02,San Rafael,county_Vásquez_de_Coronado_SJ
district_Guaitil_Villa_Acosta_SJ,02,Guaitil Villa,county_Acosta_SJ
district_Cinco_Esquinas_Tibás_SJ,02,Cinco Esquinas,county_Tibás_SJ
district_San_Jerónimo_Moravia_SJ,02,San Jerónimo,county_Moravia_SJ
district_Sabanilla_Montes_de_Oca_SJ,02,Sabanilla,county_Montes_de_Oca_SJ
district_San_Pedro_Turrubares_SJ,02,San Pedro,county_Turrubares_SJ
